,주소,이름,위도,경도
209,암사동 501-17 일대,암사종합시장,37.5508488,127.1287687
210,신당3동 372-40,약수시장,37.5533091,127.010844
211,양평동1가 31,양남시장,37.5232146,126.8904615
212,양재1동 1-78-1,양재시장,37.4843575,127.0379452
213,암사동 450-5 일대,양지골목시장,37.5556317,127.1368026
214,응암동 754-1,양지시장,37.5867628,126.9176104
215,강동구 암사3동 450-3,양지종합시장,37.5556329,127.1365727
216,영등포구 양평동4가 161-180,양평시장,37.5369869,126.8975189
217,신당동 776,에리어식스,37.5681165,127.0119499
218,역삼동796-22,역삼종합시장,37.492866,127.0391023
219,갈현동 467-1,역촌중앙시장,37.6132801,126.9161603
220,불광동 310-131,연서시장,37.6194295,126.9219484
221,갈현동 393-15 일대,연신내상점가,37.6225222,126.9190746
222,연희동 131-1,연희사러가,37.5671143,126.9296233
223,염리동 36-249,염리시장,37.5505872,126.9468413
224,상도동176,영도시장,37.5043756,126.9404131
225,자양동 246-111,영동교골목시장,37.5379791,127.0633222
226,논현동140외 44필지,영동전통시장,37.5099317,127.0236485
227,양평동1가 247,영등포기계상가,37.5233737,126.8862462
228,영등포구 영등포동3가 441,영등포로타리지하도상점가,37.518,126.9082
229,영등포동2가 234,영등포시장기계공구상가,37.5212005,126.9095921
230,영등포동5가 20,영등포시장지하도상점가,37.5203178,126.905811
231,영등포동 618,영등포역지하도상점가,37.5165086,126.9071731
232,당산동2가 30-2,영등포유통상가,37.5224017,126.8939244
233,영등포동 2가 335,영등포전통시장,37.5198516,126.9082668
234,영등포동5가 18,영신상가,37.5197447,126.9067913
235,문래동3가 10,영일시장,37.5160613,126.9006862
236,서교동 485-14,영진시장,37.553449,126.9126477
237,신길동2365,영진시장A동,37.5003501,126.9158572
238,신길동 2363,영진시장B동,37.5002782,126.9166015
239,영천동 294외,영천시장,37.5708828,126.9610464
240,오류동 38-7,오류시장,37.496359,126.8436443
241,용강동 40-2,용강동 상점가,37.5396806,126.9441795
242,용두동 231-5,용두시장,37.5783896,127.0294952
243,용문동 42 원효로3가 1번지,용문시장,37.536037,126.9601262
244,대림1동904-20,우리시장,37.4963098,126.9053243
245,망우동 463-44,우림골목시장,37.596658,127.0982061
246,난곡동 637-1,우림시장,37.4703259,126.9204015
247,신월7동 928-1,우성상가,37.5226486,126.8335845
248,수유동 270 일대,우이골목시장,37.6484956,127.0165578
249,수유2동 270-186,우이시장,37.6459385,127.0199794
250,인헌동 1638-20,원당종합시장,37.4743935,126.9658728
251,신월1동 114-1,월정로시장,37.5334512,126.8356732
252,망우동 530-3,유영시장,37.5914012,127.0966931
253,홍은동 48-84,유진상가,37.5915874,126.9429081
254,을지로2가 197,을지입구지하상가,37.565893,126.9838088
255,을지로2가 161을지로4가 234-1을지로5가 28-1,을지지하보도상가,37.5657876,126.9872071
256,응암동 427-126,응암시장,37.5943756,126.9185315
257,휘경동 151-3,이경시장,37.5945803,127.0660036
258,이문동 250-1,이문제일시장,37.6044569,127.0624305
259,이촌동 301-7~301-154,이촌종합시장,37.5195958,126.9786805
260,이태원동 56-9,이태원시장,37.5338332,126.9900363
261,홍제동 298,인왕시장,37.590853,126.9436677
262,인헌동 1638-22,인헌시장(봉천11동),37.4741053,126.9659882
263,중구 인현동2가 192,인현시장,37.5639577,126.9952871
264,자양동 631-18,자양골목시장,37.5337798,127.0815575
265,광진구 자양동 602 ,자양종합시장,37.5319839,127.0764006
266,회현동1가 202,자유상가,37.5611858,126.9800889
267,수유동 316번지 일대,장미원골목시장,37.6448943,127.0163214
268,성내1동 545-6 일대,장신구 특화거리 상점가,37.5273142,127.1291713
269,장위동 68-225 일대,장위골목시장,37.6120468,127.0506673
270,장위동 238-496,장위시장,37.6131151,127.0507287
271,장안동 108-5,전곡시장,37.5778682,127.0685352
272,전농동 295-52,전농로터리시장,37.5780176,127.0570456
273,정릉동 400-15호 일대,정릉시장,37.6084606,127.0094845
274,제기동 135-90,제기시장,37.5862453,127.034831
275,영등포동5가18,제일상가,37.5197447,126.9067913
276,대조동 14-121,제일시장,37.6105204,126.9292712
277,신당동 775,제일평화시장,37.5685064,127.0113229
278,영등포동6가 121-9,조광시장,37.5215175,126.9019866
279,광진구 자양동 6-20,조양시장,37.5388709,127.0673653
280,조원동 541-6,조원동 펭귄시장(신림8동),37.4828486,126.9109691
281,종로2가 9 ,종각지하쇼핑센터,37.5705876,126.9852752
282,종로구 종로4가 121,종로4가지하상가,37.5706222,126.9981414
283,종로5가 138 ,종로5가지하상가,37.5707106,127.0016123
284,종로5가 225-21,종로신진시장,37.5701987,127.004913
285,중곡동 221-6,중곡제일골목시장,37.5637838,127.0821644
286,광진구 중곡동 229-5번지,중곡제일시장,37.5639007,127.0812815
287,면목동 129-9,중랑교종합상가,37.5907301,127.0867104
288,행운동 34-9,중부시장,37.4845037,126.9558024
289,오장동 139-11,중부시장,37.5649412,127.0018001
290,영등포동5가 20,중앙노점,37.5203178,126.905811
291,증산동 184-9,증산종합시장,37.5814436,126.9050573
292,창동 569,창동골목시장,37.6399193,127.0395248
293,창동 581,창동신창시장,37.640302,127.0388319
294,창신동 142-33,창신골목시장,37.5727942,127.0118726
295,천호동 421-1,천호시장,37.5406471,127.1274741
296,천호동 422-2,천호신시장,37.5415887,127.1280896
297,방산동 4-11,청계5가 지하쇼핑센터,37.5692232,127.0023416
298,을지로6가 18-11,청계6가 지하도상가,37.5680321,127.0070996
299,청담동134-20,청담삼익시장,37.5223264,127.0577476
300,청담동122,청담제일시장,37.5264166,127.0496405
301,용두동 20,청량리수산시장,37.5780466,127.040921
302,청량리동 777,청량리전통시장,37.5807834,127.0433441
303,제기동 998,청량리종합시장,37.5793146,127.0408054
304,제기동 635-35,청량리청과물시장,37.579685,127.0424117
305,신당동 217-91,청평화시장,37.5694469,127.0149162
306,충신동 35-8,충신시장,37.5748321,127.0054164
307,중화동 314-1,태능시장,37.5992969,127.0773964
308,종로구 통인동 44,통인시장,37.5808176,126.9687083
309,을지로6가 17,통일상가,37.569131,127.0063144
310,을지로6가 17,평화시장,37.569131,127.0063144
311,홍은동 9-160,포방터시장,37.5986596,126.9490927
312,금천구 독산동 957,푸른터시장,37.4780455,126.9013969
313,풍납동 152-81일대,풍납시장,37.5371686,127.1211164
314,상봉동 107-6,한남프라자,37.5936413,127.0867267
315,화양동 10-1,한아름시장,37.5435424,127.0698568
316,행당동 19-54,한양시장,37.5594625,127.0404969
317,종로5가 314-7,한일상가,37.5700469,127.0030004
318,종로5가 398 ,한일지하상가(마전교지하쇼핑센터),37.5702531,127.0016636
319,합정동 375-1,합정시장,37.5482105,126.9131162
320,행당동 298-86118,행당시장,37.5605858,127.0325889
321,시흥동 856~888,현대시장,37.4598194,126.9043195
322,동교동 163~170 서교동 330-347 일대,홍대 걷고싶은 거리,37.5552071,126.9231251
323,화곡동 98-45,화곡본동시장,37.5428681,126.8441146
324,강서구 화곡동 370-37,화곡중앙골목시장,37.5350523,126.8393168
325,화곡동 370-76,화곡중앙시장,37.5353395,126.8394669
326,화양동 34-72,화양제일골목시장,37.5434816,127.0692516
327,회기동 57-22,회기시장,37.5909365,127.0549399
328,중구 회현동2가,회현지하도상가,37.5572864,126.9793216
329,후암동 103,후암시장,37.550008,126.9765534
